time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.244841114274733e-06,4.279944089018651e-06,10.006382172239732,0.000785773907205467,0.00036858982723053657,0.0,-7.864931378883336e-05,0.0002489747948405917,0.21272280556985707,-0.010984260216169037,0.005558068302928713,0.0,470.5029910106777,470.9329888236894,472.32826372399,471.48059600701555
0.12000000000000001,-3.0106620036214154e-05,3.843623103545931e-05,10.024913467984359,0.0008074535113706816,0.0036247679059489,0.0,-0.0012830677648631038,0.0009039737390072205,0.4049374018170332,-0.02130175838726364,-0.014407890400827031,0.0,465.72398524497424,464.1599961664132,466.08060143993026,465.2737821308777
0.18,-0.00018057545277308924,0.00010623962678872919,10.049924151675357,0.0005970177066529914,0.005943632433090151,0.0,-0.003926222034370031,0.0013278072479529252,0.42874238132505726,-0.011119351343869033,0.00397375792697608,0.0,410.6633943570151,412.29048824583856,412.4702890653578,413.3684447375029
0.23999999999999996,-0.0005426852427954305,0.00019996624906814294,10.07838713876786,0.001280566755831103,0.00753400906674262,0.0,-0.008292364788531422,0.0018535540462428005,0.5199851873504491,0.0004683653302939802,0.015567292473844006,0.0,433.9415414214406,434.91340414234503,433.73843954168825,434.71047078586696
0.3,-0.0012681247869262037,0.00034392277052564294,10.115068859712105,0.0018563180610016161,0.0206221979307184,0.0,-0.017341197184232184,0.0030213401316568304,0.7026266630945214,-0.008926563229479925,0.052576309829614934,0.0,459.64069345303994,462.5642155259928,464.6676671554723,463.9307442911756
0.36000000000000004,-0.002807510912790199,0.0005696659911694867,10.163080770160787,0.0018909598758591883,0.02386649719390288,0.0,-0.034342772213094466,0.0045182842244824075,0.8976289463298838,-0.018485299061937455,0.05486988783257742,0.0,467.3929237588491,467.57333647420205,466.20142381947807,465.4541774489465
0.4200000000000001,-0.00530764282660496,0.0008706937019973191,10.217030489635626,0.0007703762641444456,0.02889594453317912,0.0,-0.04942420456470359,0.005418557284374674,0.9006814431826222,-0.01943183820140551,0.06815785054533749,0.0,405.0799318762889,406.27579544445007,406.12236897344604,406.0374865499061
0.48000000000000015,-0.008967891399749435,0.0012168459716138734,10.275467115030223,0.002016058416896449,0.04346476586840797,0.0,-0.07412956648573701,0.00623802746404908,1.04702982857837,-0.0035780918547837,0.10243922501518549,0.0,450.9967539999254,453.76188632275824,451.64580234524027,452.9225888450637
0.5400000000000001,-0.014354661267740633,0.0016340284810816654,10.341383362197433,0.0024120372164597725,0.053226520610166084,0.0,-0.10640530097353182,0.007700685854073381,1.1500324759717846,0.0038660188858548753,0.1221021165173181,0.0,438.14067751118597,439.7828620966687,439.1484033027343,439.76539825587327
0.6000000000000002,-0.021973079471956106,0.00215675890291003,10.414963182421316,0.004336409871248392,0.06479141020289791,0.0,-0.14882900539561575,0.00991980000526915,1.3023887363017055,0.01696741086167049,0.09831613916037696,0.0,455.8366011939371,453.9434108611243,454.41103255574575,455.4598412184688
0.6600000000000003,-0.032541931503434346,0.0028668772260748146,10.500274917428438,0.005783862310179799,0.07095465465325113,0.0,-0.20419686871947015,0.01393690414706196,1.5409886448431283,0.00848940861297992,0.10287351234198851,0.0,480.85921490596496,481.2120526430799,481.4258280492665,480.7838618716228
0.7200000000000003,-0.04630059186856602,0.003829690239827277,10.595928166658197,0.007154001976228841,0.07729323495112617,0.0,-0.255064252602066,0.01830840542880151,1.647250728761391,-0.002944461470232714,0.10629690550814706,0.0,441.58635651783067,441.8781401036634,442.4294505179472,441.4870602370081
0.7800000000000004,-0.06348461855153689,0.005100513867367574,10.700969568733509,0.007639542763654639,0.08444232777823757,0.0,-0.31854498933168884,0.024097546369918503,1.8537407158704418,0.0048503192269021165,0.11479130931625914,0.0,471.1660405618139,471.83200303216944,473.91874579735605,474.51745501794977
0.8400000000000004,-0.08431039537153444,0.00669309884577458,10.813608569279868,0.007921888930138898,0.11105147661333792,0.0,-0.3781922854378337,0.02901313806100505,1.9005592809117773,0.004282140482389441,0.06492815977050694,0.0,426.31274610806366,422.0399067367121,424.0918955428032,424.0430087291834
0.9000000000000005,-0.1097956051031923,0.008636642271372954,10.934831763792308,0.009383905694687833,0.11582705643190927,0.0,-0.4718437746758794,0.03593335154728894,2.139709299241901,0.015167300326595043,0.07407317714776904,0.0,483.34172723787657,484.0334693243979,483.9558318379976,484.77428462212174
0.9600000000000005,-0.14085709935640728,0.01101945891171967,11.068900567369152,0.01134204292522778,0.12294228810887109,0.0,-0.5643396827168232,0.04370291196300624,2.328755519791073,0.02524607663926278,0.054930033711137485,0.0,471.5618971166902,470.0840844256299,469.55529589444546,470.3364216248682
1.0200000000000005,-0.17720224290891037,0.013899639462615092,11.210940790108197,0.02031287618814659,0.12638007225710268,0.0,-0.6474940746168726,0.0531562365532878,2.4056781767379283,0.0539819771708339,0.049431055484106784,0.0,436.9216871462476,436.46490882728824,435.53411890770286,437.93144912884645
1.0800000000000005,-0.2189363712691506,0.017561755395454556,11.360177946216465,0.023877347438612695,0.12952371460957224,0.0,-0.7439498278382429,0.06929607487432485,2.5684547924867043,0.05914617382369889,0.05300299930881734,0.0,463.1063747988031,463.3887536510788,464.55564017280744,464.96233891965113
1.1400000000000006,-0.2662245264331876,0.022216695821109463,11.516819716797745,0.02798789749930819,0.133048237844255,0.0,-0.8326499056402727,0.08626437521512384,2.6526549150888985,0.06624366529974304,0.05834194455350085,0.0,440.6915595084796,441.1346780629639,439.8449521406737,440.4351009470175
